income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$25,000 to $29,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Five;Three;Own;Condominium;White;English
$10,000 to $14,999;Female;Living together, not married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Five;Three;Rent;Apartment;American Indian;English
$20,000 to $24,999;Male;Married;45 thru 54;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Seven;Two;Own;House;White;English
$15,000 to $19,999;Female;Married;25 thru 34;Graduated high school;Sales Worker;More than ten years;Yes;Five;Three;Rent;Condominium;White;English
Less than $10,000;Female;Divorced or separated;45 thru 54;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Two;None;Own;Condominium;White;English
Less than $10,000;Female;NA;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Four;Three;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
$50,000 to $74,999;Male;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Black;English
$30,000 to $39,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;NA;None;Rent;Apartment;Hispanic;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Five;One;Live with Parents/Family;House;White;English
$75,000 or more;Male;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;Four to six years;Not Married;Five;Two;Live with Parents/Family;House;Black;English
$30,000 to $39,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Clerical/Service Worker;Four to six years;Not Married;Two;One;Own;Condominium;Other;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Two;One;Live with Parents/Family;House;Black;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;One to three years;No;Four;Two;Own;House;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;Grad Study;Professional/Managerial;More than ten years;Not Married;Three;None;Own;House;White;English
$25,000 to $29,999;Female;Married;65 and Over;Grades 9 to 11;Retired;More than ten years;No;Two;None;Own;Other;White;NA
$40,000 to $49,999;Female;Married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;White;English
$40,000 to $49,999;Male;Married;45 thru 54;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Own;House;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;College graduate;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;18 thru 24;Graduated high school;Sales Worker;Less than one year;Yes;Two;None;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Graduated high school;Sales Worker;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Hispanic;English
$30,000 to $39,999;Female;Single, never married;14 thru 17;Graduated high school;Unemployed;More than ten years;Not Married;Five;One;Live with Parents/Family;House;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Five;None;Live with Parents/Family;House;Hispanic;English
$15,000 to $19,999;Female;Divorced or separated;25 thru 34;College graduate;Professional/Managerial;Less than one year;Not Married;Two;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;White;English
Less than $10,000;Female;Widowed;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Married;65 and Over;NA;Retired;More than ten years;No;Two;None;Own;Mobile Home;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Four;Two;Live with Parents/Family;House;White;English
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Homemaker;More than ten years;No;Three;One;Own;House;Hispanic;English
$10,000 to $14,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Student, HS or College;Seven to ten years;Not Married;Six;Two;Live with Parents/Family;House;Asian;English
$20,000 to $24,999;Female;Widowed;65 and Over;Graduated high school;Retired;More than ten years;Not Married;One;None;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
$15,000 to $19,999;Male;Married;25 thru 34;Graduated high school;Unemployed;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Married;65 and Over;Graduated high school;Retired;More than ten years;No;Two;None;Own;Condominium;White;English
Less than $10,000;Female;Married;25 thru 34;Graduated high school;Sales Worker;More than ten years;No;Four;Two;Rent;NA;White;English
$30,000 to $39,999;Female;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;House;White;English
$50,000 to $74,999;Male;Married;45 thru 54;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Two;None;Own;Condominium;White;English
$15,000 to $19,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Three;Two;Own;House;NA;NA
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;One to three years;Not Married;Two;Two;Rent;House;White;English
$50,000 to $74,999;Female;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Three;One;Rent;House;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;American Indian;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;White;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;None;Live with Parents/Family;NA;Other;English
$25,000 to $29,999;Female;Married;45 thru 54;Graduated high school;Homemaker;More than ten years;No;Four;Two;Own;House;White;English
$75,000 or more;Female;Married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Yes;Four;None;Own;House;White;English
$20,000 to $24,999;Female;Widowed;65 and Over;1 to 3 years of college;Retired;More than ten years;Not Married;Five;None;Live with Parents/Family;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Unemployed;More than ten years;Not Married;One;None;Live with Parents/Family;Condominium;White;English
$25,000 to $29,999;Male;Single, never married;45 thru 54;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Own;Mobile Home;White;English
Less than $10,000;Female;Married;14 thru 17;Graduated high school;Student, HS or College;Four to six years;No;Four;Three;Live with Parents/Family;House;Hispanic;Spanish
$30,000 to $39,999;Female;Single, never married;18 thru 24;1 to 3 years of college;NA;More than ten years;Not Married;Three;One;Live with Parents/Family;Apartment;Black;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;Two;Rent;Apartment;Black;English
$20,000 to $24,999;Female;Married;45 thru 54;Grades 9 to 11;Unemployed;More than ten years;No;Two;None;Rent;Apartment;Black;English
$30,000 to $39,999;Male;Single, never married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;NA;None;Own;House;Black;English
$10,000 to $14,999;Female;Single, never married;25 thru 34;Graduated high school;Clerical/Service Worker;NA;Not Married;Three;Two;Rent;Apartment;Black;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Homemaker;Less than one year;Not Married;Four;Two;Rent;Apartment;Black;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;None;Own;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Four;Live with Parents/Family;House;Black;English
Less than $10,000;Female;NA;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;No;NA;None;Live with Parents/Family;NA;Black;NA
Less than $10,000;Male;Single, never married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Not Married;Four;One;Live with Parents/Family;House;Black;NA
$15,000 to $19,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Three;Rent;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Four to six years;Not Married;Three;One;Live with Parents/Family;House;Black;NA
$15,000 to $19,999;Female;Married;25 thru 34;Grad Study;Clerical/Service Worker;More than ten years;Yes;Three;One;Rent;House;Black;English
$30,000 to $39,999;Female;Married;45 thru 54;Grades 9 to 11;Homemaker;More than ten years;No;Four;One;Own;House;Black;English
Less than $10,000;Female;Single, never married;25 thru 34;Graduated high school;Sales Worker;More than ten years;Not Married;Three;One;Rent;Apartment;Black;English
$10,000 to $14,999;Male;Single, never married;14 thru 17;Grades 9 to 11;Sales Worker;More than ten years;Not Married;Three;None;Own;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Four;Two;Live with Parents/Family;Apartment;Black;English
$50,000 to $74,999;Female;Married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Two;None;Rent;Condominium;Black;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;Four to six years;Not Married;Five;Two;Live with Parents/Family;House;Black;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Military;Less than one year;Not Married;One;None;Own;House;Black;Spanish
$20,000 to $24,999;Female;Single, never married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Male;NA;14 thru 17;Grades 9 to 11;NA;NA;No;NA;None;Live with Parents/Family;NA;Black;English
$30,000 to $39,999;Male;NA;45 thru 54;Graduated high school;Homemaker;More than ten years;Yes;Three;Five;NA;NA;Black;English
$20,000 to $24,999;Female;Widowed;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;Black;English
$30,000 to $39,999;Female;Married;55 thru 64;Grades 9 to 11;Retired;NA;No;Two;None;Own;House;Black;English
$15,000 to $19,999;Female;Divorced or separated;65 and Over;1 to 3 years of college;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Four;Two;Rent;Apartment;White;English
$40,000 to $49,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Four to six years;Yes;Two;None;Own;House;White;English
$15,000 to $19,999;Male;NA;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Yes;Five;None;Rent;NA;Hispanic;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Four to six years;Not Married;Four;One;Live with Parents/Family;Apartment;Hispanic;Spanish
$15,000 to $19,999;Female;Divorced or separated;25 thru 34;Graduated high school;Clerical/Service Worker;One to three years;Not Married;Two;One;Rent;Condominium;Hispanic;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;One to three years;Not Married;Five;Three;Live with Parents/Family;House;Black;Other
$50,000 to $74,999;Female;Married;45 thru 54;Graduated high school;Homemaker;More than ten years;No;Two;None;Own;House;White;Other
$75,000 or more;Male;Married;55 thru 64;Grad Study;Retired;More than ten years;No;Three;None;Own;House;White;Other
$50,000 to $74,999;Female;Married;45 thru 54;College graduate;Sales Worker;Four to six years;Yes;Two;None;Own;Condominium;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Unemployed;Seven to ten years;Not Married;Six;Three;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;NA;Four to six years;Not Married;NA;None;Live with Parents/Family;Apartment;Black;Other
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;Apartment;Black;English
$15,000 to $19,999;Female;Married;25 thru 34;1 to 3 years of college;Student, HS or College;NA;No;Five;Three;Rent;NA;Black;English
$40,000 to $49,999;Male;Married;35 thru 44;College graduate;Factory Worker/Laborer/Driver;More than ten years;No;Five;Three;Own;House;Black;English
Less than $10,000;Male;Living together, not married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Nine or more;Four;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Male;Divorced or separated;55 thru 64;Grades 9 to 11;Retired;More than ten years;Not Married;One;None;Rent;House;Black;English
$10,000 to $14,999;Male;Married;55 thru 64;Grades 9 to 11;Retired;More than ten years;No;Seven;Three;Own;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;Apartment;Hispanic;Spanish
$10,000 to $14,999;Female;Divorced or separated;35 thru 44;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Seven;Five;Rent;Apartment;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
$40,000 to $49,999;Male;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;House;White;English
Less than $10,000;Male;NA;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Yes;Three;One;Live with Parents/Family;NA;Other;English
$10,000 to $14,999;Female;Married;18 thru 24;1 to 3 years of college;Sales Worker;Less than one year;Yes;Two;None;Rent;Apartment;Asian;Other
$40,000 to $49,999;Male;Divorced or separated;45 thru 54;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Seven;Four;Own;House;Other;English
$40,000 to $49,999;Female;Married;35 thru 44;Grad Study;NA;More than ten years;No;Three;One;Own;House;White;English
$40,000 to $49,999;Male;Married;55 thru 64;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Two;None;Own;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;NA;Not Married;Three;One;Live with Parents/Family;House;Other;English
$10,000 to $14,999;Female;Married;25 thru 34;Graduated high school;Homemaker;NA;No;Four;Two;Rent;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Unemployed;NA;Not Married;NA;None;NA;NA;Black;English
$30,000 to $39,999;Male;Married;35 thru 44;College graduate;Factory Worker/Laborer/Driver;NA;Yes;Three;One;Own;NA;Black;English
$50,000 to $74,999;Male;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;No;Three;One;Own;House;Black;English
$30,000 to $39,999;Female;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;No;Four;One;Own;House;Black;English
$40,000 to $49,999;Female;Married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Six;Two;Own;House;White;English
Less than $10,000;Male;Living together, not married;35 thru 44;Graduated high school;Retired;More than ten years;No;Two;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;45 thru 54;1 to 3 years of college;Homemaker;More than ten years;No;Five;None;Own;House;White;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;One;None;Rent;Apartment;Asian;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Homemaker;More than ten years;Not Married;Three;None;Live with Parents/Family;NA;White;English
Less than $10,000;Female;Divorced or separated;35 thru 44;Graduated high school;Retired;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Single, never married;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Five;None;Own;House;White;English
$30,000 to $39,999;Female;Divorced or separated;45 thru 54;1 to 3 years of college;Homemaker;NA;Not Married;Six;Three;Own;House;Black;English
$15,000 to $19,999;Male;Married;45 thru 54;Grades 9 to 11;Unemployed;NA;Yes;Three;None;Own;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;35 thru 44;Graduated high school;Unemployed;More than ten years;Not Married;Four;Two;Rent;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;NA;None;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Three;None;Own;House;Black;English
$20,000 to $24,999;Female;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Five;Two;Own;House;Black;English
$50,000 to $74,999;Female;Married;45 thru 54;Graduated high school;Student, HS or College;More than ten years;No;Three;One;Own;House;Black;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Condominium;Black;English
Less than $10,000;Female;Married;18 thru 24;Graduated high school;Clerical/Service Worker;NA;Yes;NA;None;Rent;Apartment;Black;English
$30,000 to $39,999;Female;Married;18 thru 24;1 to 3 years of college;Clerical/Service Worker;NA;Yes;Two;None;Rent;Apartment;Black;English
$15,000 to $19,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Eight;Three;Live with Parents/Family;House;Black;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Eight;Three;Live with Parents/Family;House;Black;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Military;More than ten years;Not Married;Six;Four;Rent;Apartment;Black;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;One;None;Rent;House;Other;English
$40,000 to $49,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Six;Three;Live with Parents/Family;House;Other;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Six;One;Live with Parents/Family;House;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;One to three years;Not Married;Four;One;Live with Parents/Family;House;American Indian;English
Less than $10,000;Female;Living together, not married;18 thru 24;Graduated high school;Sales Worker;Less than one year;Not Married;Two;None;Rent;NA;White;English
$30,000 to $39,999;Male;Living together, not married;25 thru 34;College graduate;Professional/Managerial;One to three years;Yes;Two;None;Rent;Apartment;White;NA
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Seven;Three;Live with Parents/Family;House;Black;English
$25,000 to $29,999;Male;Married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;Black;English
$30,000 to $39,999;Female;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;One to three years;Not Married;One;None;Rent;Apartment;Black;English
$30,000 to $39,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Unemployed;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;Black;English
$10,000 to $14,999;Male;Divorced or separated;35 thru 44;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;None;Rent;Apartment;Black;English
$40,000 to $49,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Yes;Three;One;Own;Condominium;Black;English
$15,000 to $19,999;Male;Living together, not married;18 thru 24;1 to 3 years of college;Military;More than ten years;No;Two;None;Rent;Condominium;Black;English
$75,000 or more;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;None;Own;House;Black;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;Three;Two;Live with Parents/Family;House;Black;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;One to three years;Not Married;Four;One;Live with Parents/Family;House;Black;English
$15,000 to $19,999;Male;Living together, not married;25 thru 34;Graduated high school;Sales Worker;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$25,000 to $29,999;Male;Divorced or separated;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Black;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;Graduated high school;Professional/Managerial;More than ten years;Not Married;Four;None;Rent;Apartment;Black;English
$75,000 or more;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;NA;Not Married;Three;None;Live with Parents/Family;House;Black;English
$20,000 to $24,999;Male;Married;35 thru 44;1 to 3 years of college;Factory Worker/Laborer/Driver;Seven to ten years;Yes;Four;Two;Rent;House;Black;English
$25,000 to $29,999;Female;Married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Three;One;Rent;House;Black;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;Black;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Five;Two;Live with Parents/Family;Apartment;Black;English
$10,000 to $14,999;Male;Single, never married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Six;Two;Live with Parents/Family;Apartment;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;NA;Not Married;Three;One;Live with Parents/Family;Apartment;Black;English
$25,000 to $29,999;Male;Divorced or separated;25 thru 34;1 to 3 years of college;Sales Worker;One to three years;Not Married;One;One;NA;NA;White;English
$40,000 to $49,999;Female;Widowed;35 thru 44;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;One;Live with Parents/Family;House;Black;English
$50,000 to $74,999;Female;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Black;NA
$20,000 to $24,999;Male;Living together, not married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Not Married;Three;One;Rent;Apartment;American Indian;English
$10,000 to $14,999;Female;Married;18 thru 24;Graduated high school;Homemaker;Seven to ten years;No;Four;None;Rent;House;Black;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;Six;Two;Live with Parents/Family;House;Black;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;College graduate;Student, HS or College;Four to six years;Not Married;NA;None;Rent;Apartment;Black;English
Less than $10,000;Male;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;Four to six years;Not Married;Three;One;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;Black;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Four;None;Own;House;Black;English
$10,000 to $14,999;Female;Living together, not married;18 thru 24;Graduated high school;Clerical/Service Worker;One to three years;Not Married;Two;None;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Seven to ten years;Not Married;Four;Three;Live with Parents/Family;Condominium;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Eight;Eight;Live with Parents/Family;House;Hispanic;Spanish
$20,000 to $24,999;Female;Divorced or separated;35 thru 44;1 to 3 years of college;Military;More than ten years;Not Married;NA;None;Own;House;Hispanic;English
$30,000 to $39,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Military;NA;Not Married;Two;None;Rent;Apartment;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;Four to six years;Not Married;Three;One;Live with Parents/Family;House;White;English
$40,000 to $49,999;Male;Married;45 thru 54;Grad Study;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;House;White;NA
$40,000 to $49,999;Male;Married;25 thru 34;1 to 3 years of college;Sales Worker;Four to six years;Yes;Four;Two;Own;House;Other;Spanish
$15,000 to $19,999;Female;Married;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;No;NA;None;Rent;Apartment;White;English
$40,000 to $49,999;Female;Widowed;55 thru 64;1 to 3 years of college;Professional/Managerial;Seven to ten years;Not Married;One;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Four;Seven;Live with Parents/Family;House;White;English
Less than $10,000;Female;Divorced or separated;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Three;One;Own;House;White;English
Less than $10,000;Male;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;White;English
$30,000 to $39,999;Female;Single, never married;45 thru 54;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Own;House;White;English
$20,000 to $24,999;Female;Divorced or separated;45 thru 54;Grad Study;Clerical/Service Worker;More than ten years;Not Married;Four;Two;Rent;House;White;English
$40,000 to $49,999;Female;Married;45 thru 54;1 to 3 years of college;Clerical/Service Worker;More than ten years;No;Two;None;Own;House;Other;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Professional/Managerial;Seven to ten years;Not Married;Four;None;Live with Parents/Family;House;Asian;Other
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Military;Seven to ten years;Not Married;NA;None;NA;Other;Black;English
$15,000 to $19,999;Female;Divorced or separated;45 thru 54;Graduated high school;Military;Seven to ten years;Not Married;One;None;Rent;House;Black;English
